
PHP CODE SNIFFER REPORT SUMMARY
--------------------------------------------------------------------------------
FILE                                                            ERRORS  WARNINGS
--------------------------------------------------------------------------------
...\Nyalife-HMS-System\includes\controllers\BaseController.php  6       1
...fe-HMS-System\includes\controllers\ComponentsController.php  2       2
...alife-HMS-System\includes\controllers\ajax\auth_handler.php  1       2
...alife-HMS-System\includes\controllers\api\ApiController.php  16      1
...tem\includes\controllers\api\ApiNotificationsController.php  3       2
...S-System\includes\controllers\api\AppointmentController.php  17      3
...System\includes\controllers\api\CommunicationController.php  13      1
...-System\includes\controllers\api\ConsultationController.php  11      10
...e-HMS-System\includes\controllers\api\DoctorsController.php  6       1
...-HMS-System\includes\controllers\api\FollowUpController.php  3       1
...HMS-System\includes\controllers\api\InsuranceController.php  11      7
...e-HMS-System\includes\controllers\api\LabTestController.php  8       3
...S-System\includes\controllers\api\MedicationsController.php  5       8
...e-HMS-System\includes\controllers\api\PaymentController.php  3       1
...MS-System\includes\controllers\api\ValidationController.php  7       2
...S-System\includes\controllers\web\AppointmentController.php  8       19
...life-HMS-System\includes\controllers\web\AuthController.php  5       6
...-System\includes\controllers\web\ConsultationController.php  21      24
...HMS-System\includes\controllers\web\DashboardController.php  6       4
...MS-System\includes\controllers\web\DepartmentController.php  2       1
...ife-HMS-System\includes\controllers\web\ErrorController.php  3       1
...-HMS-System\includes\controllers\web\FollowUpController.php  4       1
...tem\includes\controllers\web\GuestAppointmentController.php  8       8
...life-HMS-System\includes\controllers\web\HomeController.php  4       1
...e-HMS-System\includes\controllers\web\InvoiceController.php  2       1
...MS-System\includes\controllers\web\LabRequestController.php  10      6
...MS-System\includes\controllers\web\LabResultsController.php  7       5
...e-HMS-System\includes\controllers\web\LabTestController.php  24      6
...-HMS-System\includes\controllers\web\MessagesController.php  11      3
...System\includes\controllers\web\NotificationsController.php  5       1
...e-HMS-System\includes\controllers\web\PatientController.php  5       6
...e-HMS-System\includes\controllers\web\PaymentController.php  2       1
...-HMS-System\includes\controllers\web\PharmacyController.php  9       1
...-System\includes\controllers\web\PrescriptionController.php  14      6
...e-HMS-System\includes\controllers\web\ReportsController.php  2       2
...-HMS-System\includes\controllers\web\SettingsController.php  2       1
...life-HMS-System\includes\controllers\web\UserController.php  3       4
...HMS-System\includes\controllers\web\VitalSignController.php  6       12
...alife-HMS-System\includes\controllers\web\WebController.php  8       2
C:\wamp64\www\Nyalife-HMS-System\includes\core\Auth.php         2       1
...64\www\Nyalife-HMS-System\includes\core\DatabaseManager.php  2       0
...amp64\www\Nyalife-HMS-System\includes\core\ErrorHandler.php  2       0
C:\wamp64\www\Nyalife-HMS-System\includes\core\Router.php       2       1
...p64\www\Nyalife-HMS-System\includes\core\SessionManager.php  2       0
C:\wamp64\www\Nyalife-HMS-System\includes\core\Utilities.php    2       0
C:\wamp64\www\Nyalife-HMS-System\includes\core\WebRouter.php    2       2
...www\Nyalife-HMS-System\includes\models\AppointmentModel.php  2       3
C:\wamp64\www\Nyalife-HMS-System\includes\models\BaseModel.php  2       3
...ww\Nyalife-HMS-System\includes\models\ConsultationModel.php  3       0
...\www\Nyalife-HMS-System\includes\models\DepartmentModel.php  2       2
...mp64\www\Nyalife-HMS-System\includes\models\DoctorModel.php  2       2
...\Nyalife-HMS-System\includes\models\DoctorScheduleModel.php  2       3
...64\www\Nyalife-HMS-System\includes\models\FollowUpModel.php  2       2
...p64\www\Nyalife-HMS-System\includes\models\InvoiceModel.php  2       2
...w\Nyalife-HMS-System\includes\models\LabAttachmentModel.php  7       2
...ww\Nyalife-HMS-System\includes\models\LabParameterModel.php  2       2
...\www\Nyalife-HMS-System\includes\models\LabRequestModel.php  2       2
...p64\www\Nyalife-HMS-System\includes\models\LabTestModel.php  2       6
...\Nyalife-HMS-System\includes\models\MedicalHistoryModel.php  2       2
...\www\Nyalife-HMS-System\includes\models\MedicationModel.php  23      4
...p64\www\Nyalife-HMS-System\includes\models\MessageModel.php  13      3
...ww\Nyalife-HMS-System\includes\models\NotificationModel.php  4       8
...p64\www\Nyalife-HMS-System\includes\models\PatientModel.php  2       2
...p64\www\Nyalife-HMS-System\includes\models\PaymentModel.php  2       2
...ww\Nyalife-HMS-System\includes\models\PrescriptionModel.php  2       4
...amp64\www\Nyalife-HMS-System\includes\models\StaffModel.php  2       1
C:\wamp64\www\Nyalife-HMS-System\includes\models\UserModel.php  2       2
...4\www\Nyalife-HMS-System\includes\models\VitalSignModel.php  3       2
--------------------------------------------------------------------------------
A TOTAL OF 382 ERRORS AND 230 WARNINGS WERE FOUND IN 68 FILES
--------------------------------------------------------------------------------
PHPCBF CAN FIX 315 OF THESE SNIFF VIOLATIONS AUTOMATICALLY
--------------------------------------------------------------------------------

Time: 34.11 secs; Memory: 18MB


