[2025-12-02 17:55:43] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Unauthorized access
[2025-12-02 17:56:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:56:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:57:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:57:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:58:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:58:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:59:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:59:27] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:59:56] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 17:59:56] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:00:02] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:00:02] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:00:33] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:00:33] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:01:02] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Unauthorized access
[2025-12-02 18:01:03] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:01:03] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:01:33] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:01:33] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:02:03] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:02:03] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:02:33] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
[2025-12-02 18:02:33] [ERROR] [API error in /Nyalife-HMS-System/api/appointments/pending-count] Appointment not found
